Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
BE260702P00240000,BE260702P00240000,BUY,FILLED,1.0,1.0,@12.0,11.17,DAY,2026-06-26T19:51:38.314Z,2026-06-26T19:51:45.956Z
GLD260706C00379000,GLD260706C00379000,BUY,FILLED,3.0,3.0,@3.4,3.32,DAY,2026-06-26T19:14:10.244Z,2026-06-26T19:14:21.283Z
BE260702P00240000,BE260702P00240000,SELL,FILLED,2.0,2.0,@4.65,4.65,DAY,2026-06-26T19:14:01.194Z,2026-06-26T19:14:25.631Z
MSTR260702P00067000,MSTR260702P00067000,SELL,FILLED,6.0,6.0,@0.73,0.76,DAY,2026-06-26T19:09:05.593Z,2026-06-26T19:09:22.039Z
UMC260717P00020000,UMC260717P00020000,BUY,FILLED,20.0,20.0,@0.4,0.4,DAY,2026-06-26T19:00:21.160Z,2026-06-26T19:00:52.361Z
AMKR260717P00065000,AMKR260717P00065000,BUY,FILLED,3.0,3.0,@1.9,1.9,DAY,2026-06-26T18:58:41.901Z,2026-06-26T18:58:55.826Z
MSTR260702P00067000,MSTR260702P00067000,SELL,FILLED,7.0,7.0,@0.8,0.81,DAY,2026-06-26T18:51:29.565Z,2026-06-26T18:51:29.807Z
MU260702P00900000,MU260702P00900000,SELL,FILLED,2.0,2.0,@5.35,5.35,DAY,2026-06-26T18:47:26.098Z,2026-06-26T18:47:33.947Z
MSTR260702P00067000,MSTR260702P00067000,BUY,FILLED,15.0,15.0,@0.78,0.78,DAY,2026-06-26T18:47:20.746Z,2026-06-26T18:47:20.803Z
MU260702P00900000,MU260702P00900000,BUY,FILLED,2.0,2.0,@5.25,5.25,DAY,2026-06-26T18:31:19.505Z,2026-06-26T18:31:27.126Z
GLD260706C00379000,GLD260706C00379000,SELL,FILLED,3.0,3.0,@3.55,3.55,DAY,2026-06-26T17:53:48.328Z,2026-06-26T17:53:56.268Z
BE260702P00240000,BE260702P00240000,BUY,FILLED,2.0,2.0,@5.8,5.8,DAY,2026-06-26T16:02:39.566Z,2026-06-26T16:02:39.611Z
SNOW260710C00260000,SNOW260710C00260000,BUY,FILLED,3.0,3.0,@3.25,3.25,DAY,2026-06-26T15:34:24.902Z,2026-06-26T15:34:40.827Z
CRWV260710P00080000,CRWV260710P00080000,BUY,FILLED,4.0,4.0,@1.51,1.51,DAY,2026-06-26T15:13:28.069Z,2026-06-26T15:13:28.232Z
SNOW260626C00240000,SNOW260626C00240000,SELL,FILLED,3.0,3.0,@0.33,0.33,DAY,2026-06-26T15:05:33.745Z,2026-06-26T15:05:39.454Z
MSFT260626C00375000,MSFT260626C00375000,SELL,FILLED,5.0,5.0,@0.34,0.34,DAY,2026-06-26T15:05:10.260Z,2026-06-26T15:05:10.307Z
MSFT260706C00380000,MSFT260706C00380000,SELL,FILLED,4.0,4.0,@3.9,3.9,DAY,2026-06-26T15:05:05.230Z,2026-06-26T15:05:18.208Z
SNOW260626C00240000,SNOW260626C00240000,BUY,FILLED,3.0,3.0,@0.44,0.42,DAY,2026-06-26T14:57:31.033Z,2026-06-26T14:57:31.083Z
IBIT260706P00030000,IBIT260706P00030000,SELL,FILLED,50.0,50.0,@0.16,0.16,DAY,2026-06-26T14:51:42.538Z,2026-06-26T14:51:42.634Z
MSFT260626C00375000,MSFT260626C00375000,SELL,FILLED,5.0,5.0,@0.33,0.33,DAY,2026-06-26T14:49:53.556Z,2026-06-26T14:49:53.708Z
INTC260626P00125000,INTC260626P00125000,SELL,FILLED,5.0,5.0,@0.26,0.29,DAY,2026-06-26T14:49:28.430Z,2026-06-26T14:49:28.593Z
MSFT260626C00375000,MSFT260626C00375000,BUY,FILLED,10.0,10.0,@0.44,0.43,DAY,2026-06-26T14:49:23.118Z,2026-06-26T14:49:23.309Z
MSTR260710P00090000,MSTR260710P00090000,SELL,FILLED,1.0,1.0,@9.45,9.45,DAY,2026-06-26T14:43:56.751Z,2026-06-26T14:44:24.671Z
INTC260626P00125000,INTC260626P00125000,BUY,FILLED,5.0,5.0,@0.42,0.38,DAY,2026-06-26T14:35:32.722Z,2026-06-26T14:35:32.762Z
CRWV260710P00080000,CRWV260710P00080000,BUY,FILLED,8.0,8.0,@1.38,1.38,DAY,2026-06-26T14:32:14.745Z,2026-06-26T14:32:29.337Z
IREN260702P00043500,IREN260702P00043500,SELL,FILLED,5.0,5.0,@1.36,1.36,DAY,2026-06-26T14:13:31.591Z,2026-06-26T14:13:31.647Z
IREN260702P00043500,IREN260702P00043500,BUY,FILLED,5.0,5.0,@1.56,1.56,DAY,2026-06-26T14:11:30.262Z,2026-06-26T14:11:41.187Z
GLD260706C00379000,GLD260706C00379000,BUY,FILLED,3.0,3.0,@3.95,3.62,DAY,2026-06-26T14:00:25.592Z,2026-06-26T14:00:25.837Z
IBIT260706P00030000,IBIT260706P00030000,SELL,CANCELLED,0.0,50.0,@0.19,,DAY,2026-06-26T13:59:01.687Z,
MU260626P01085000,MU260626P01085000,SELL,FILLED,1.0,1.0,@1.13,1.13,DAY,2026-06-26T13:57:46.996Z,2026-06-26T13:58:11.131Z
INTC260626P00122000,INTC260626P00122000,SELL,FILLED,5.0,5.0,@0.27,0.27,DAY,2026-06-26T13:57:41.106Z,2026-06-26T13:57:41.260Z
MSTR260710P00090000,MSTR260710P00090000,SELL,FILLED,1.0,1.0,@9.65,9.73,DAY,2026-06-26T13:47:29.656Z,2026-06-26T13:47:29.819Z
INTC260626P00122000,INTC260626P00122000,SELL,FILLED,5.0,5.0,@0.66,0.66,DAY,2026-06-26T13:40:33.768Z,2026-06-26T13:40:33.864Z
IREN260702P00046000,IREN260702P00046000,SELL,FILLED,8.0,8.0,@2.5,2.66,DAY,2026-06-26T13:36:14.094Z,2026-06-26T13:36:14.220Z
IBIT260717P00030000,IBIT260717P00030000,SELL,FILLED,10.0,10.0,@0.54,0.54,DAY,2026-06-26T13:33:36.211Z,2026-06-26T13:33:51.489Z
SPCX260626P00146000,SPCX260626P00146000,SELL,FILLED,2.0,2.0,@1.15,1.15,DAY,2026-06-26T13:33:27.945Z,2026-06-26T13:33:28.033Z
INTC260626P00122000,INTC260626P00122000,BUY,FILLED,10.0,10.0,@0.76,0.76,DAY,2026-06-26T13:33:22.289Z,2026-06-26T13:33:22.329Z
SPCX260626P00146000,SPCX260626P00146000,BUY,FILLED,2.0,2.0,@1.0,1.0,DAY,2026-06-26T13:30:42.793Z,2026-06-26T13:30:42.935Z
QQQ260625P00713000,QQQ260625P00713000,SELL,FILLED,3.0,3.0,@0.56,0.57,DAY,2026-06-25T19:26:19.642Z,2026-06-25T19:26:19.862Z
QQQ260625P00713000,QQQ260625P00713000,SELL,FILLED,3.0,3.0,,0.81,DAY,2026-06-25T19:16:09.684Z,2026-06-25T19:16:09.728Z
IBIT260717P00030000,IBIT260717P00030000,BUY,FILLED,10.0,10.0,@0.48,0.48,DAY,2026-06-25T19:13:22.336Z,2026-06-25T19:13:22.549Z
QQQ260625C00720000,QQQ260625C00720000,SELL,FILLED,5.0,5.0,@0.19,0.2,DAY,2026-06-25T19:02:12.661Z,2026-06-25T19:02:12.868Z
QQQ260625C00720000,QQQ260625C00720000,BUY,FILLED,5.0,5.0,@0.29,0.29,DAY,2026-06-25T19:00:37.759Z,2026-06-25T19:00:37.918Z
QQQ260625P00713000,QQQ260625P00713000,BUY,FILLED,6.0,6.0,@0.43,0.42,DAY,2026-06-25T19:00:06.996Z,2026-06-25T19:00:19.500Z
IBIT260706P00030000,IBIT260706P00030000,BUY,FILLED,25.0,25.0,@0.23,0.23,DAY,2026-06-25T18:46:44.932Z,2026-06-25T18:46:44.970Z
MSFT260717C00380000,MSFT260717C00380000,BUY,FILLED,1.0,1.0,@4.55,4.51,DAY,2026-06-25T18:35:41.586Z,2026-06-25T18:35:41.732Z
MSTR260710P00090000,MSTR260710P00090000,SELL,FILLED,1.0,1.0,@8.5,8.71,DAY,2026-06-25T18:10:44.075Z,2026-06-25T18:10:44.212Z
MSFT260706C00380000,MSFT260706C00380000,SELL,FILLED,5.0,5.0,@1.09,1.09,DAY,2026-06-25T17:54:47.641Z,2026-06-25T17:54:52.378Z
MSFT260706C00380000,MSFT260706C00380000,BUY,FILLED,10.0,10.0,@1.1,1.1,DAY,2026-06-25T16:55:03.648Z,2026-06-25T16:55:03.812Z
MSTR260626P00075000,MSTR260626P00075000,SELL,FILLED,15.0,15.0,@0.4,0.41,DAY,2026-06-25T16:54:27.005Z,2026-06-25T16:54:42.335Z
PLTR260626P00105000,PLTR260626P00105000,SELL,FILLED,3.0,3.0,@0.69,0.69,DAY,2026-06-25T16:39:19.414Z,2026-06-25T16:39:19.787Z
MSTR260626P00075000,MSTR260626P00075000,BUY,FILLED,15.0,15.0,@0.36,0.36,DAY,2026-06-25T16:39:08.728Z,2026-06-25T16:39:08.809Z
PLTR260626P00105000,PLTR260626P00105000,BUY,FILLED,3.0,3.0,@1.03,1.03,DAY,2026-06-25T15:09:22.646Z,2026-06-25T15:09:37.811Z
BIDU260710P00100000,BIDU260710P00100000,SELL,FILLED,2.0,2.0,@2.05,2.05,DAY,2026-06-25T14:58:01.070Z,2026-06-25T14:58:01.107Z
MU260626P01085000,MU260626P01085000,BUY,FILLED,1.0,1.0,@13.0,13.0,DAY,2026-06-25T14:16:13.607Z,2026-06-25T14:16:32.246Z
MU260626P01085000,MU260626P01085000,SELL,FILLED,1.0,1.0,@7.75,7.75,DAY,2026-06-25T14:11:01.250Z,2026-06-25T14:11:01.376Z
SMH260626P00625000,SMH260626P00625000,SELL,FILLED,1.0,1.0,@16.3,16.3,DAY,2026-06-25T13:57:10.137Z,2026-06-25T13:57:10.224Z
BA260626C00225000,BA260626C00225000,SELL,FILLED,1.0,1.0,@0.59,0.59,DAY,2026-06-25T13:53:27.358Z,2026-06-25T13:53:32.232Z
GOOG260626P00330000,GOOG260626P00330000,SELL,FILLED,3.0,3.0,@1.01,1.01,DAY,2026-06-25T13:53:07.474Z,2026-06-25T13:53:21.685Z
SMH260626P00600000,SMH260626P00600000,SELL,FILLED,1.0,1.0,@4.65,4.66,DAY,2026-06-25T13:53:02.812Z,2026-06-25T13:53:02.994Z
MU260626P01085000,MU260626P01085000,BUY,FILLED,1.0,1.0,@11.45,11.45,DAY,2026-06-25T13:52:55.312Z,2026-06-25T13:52:55.357Z
SMH260626P00600000,SMH260626P00600000,BUY,FILLED,1.0,1.0,@3.65,3.65,DAY,2026-06-25T13:49:19.187Z,2026-06-25T13:49:19.292Z
PLTR260626P00106000,PLTR260626P00106000,SELL,FILLED,3.0,3.0,@0.92,0.93,DAY,2026-06-25T13:44:14.607Z,2026-06-25T13:44:14.657Z
IREN260702P00046000,IREN260702P00046000,BUY,FILLED,8.0,8.0,@1.75,1.75,DAY,2026-06-25T13:43:33.419Z,2026-06-25T13:43:33.500Z
GOOG260626P00330000,GOOG260626P00330000,BUY,FILLED,3.0,3.0,@1.2,1.2,DAY,2026-06-25T13:41:42.283Z,2026-06-25T13:42:00.196Z
SMH260626P00625000,SMH260626P00625000,BUY,FILLED,1.0,1.0,@4.15,4.15,DAY,2026-06-25T13:40:29.390Z,2026-06-25T13:40:29.560Z
IBIT260706P00030000,IBIT260706P00030000,BUY,FILLED,25.0,25.0,@0.23,0.22,DAY,2026-06-25T13:39:55.765Z,2026-06-25T13:47:51.693Z
INTC260717C00170000,INTC260717C00170000,SELL,FILLED,3.0,3.0,@3.45,3.45,DAY,2026-06-25T13:39:01.640Z,2026-06-25T13:39:02.222Z
MU260626C01325000,MU260626C01325000,SELL,FILLED,1.0,1.0,@10.35,10.76,DAY,2026-06-25T13:38:16.866Z,2026-06-25T13:38:17.009Z
BIDU260710P00100000,BIDU260710P00100000,BUY,FILLED,2.0,2.0,@1.98,1.98,DAY,2026-06-25T13:35:11.204Z,2026-06-25T13:39:14.045Z
PLTR260626P00106000,PLTR260626P00106000,BUY,FILLED,3.0,3.0,@0.78,0.78,DAY,2026-06-25T13:34:49.752Z,2026-06-25T13:34:49.792Z
INTC260717C00170000,INTC260717C00170000,BUY,FILLED,3.0,3.0,@3.85,3.85,DAY,2026-06-25T13:34:00.206Z,2026-06-25T13:34:01.151Z
MU260626C01325000,MU260626C01325000,BUY,FILLED,1.0,1.0,@12.6,11.35,DAY,2026-06-25T13:33:25.580Z,2026-06-25T13:33:25.676Z
GLD260706P00340000,GLD260706P00340000,SELL,FILLED,6.0,6.0,@0.74,0.74,DAY,2026-06-25T13:30:17.666Z,2026-06-25T13:30:23.373Z
IBIT260706P00030000,IBIT260706P00030000,SELL,FILLED,50.0,50.0,@0.14,0.14,DAY,2026-06-25T13:30:13.283Z,2026-06-25T13:30:33.146Z
IREN260702P00046000,IREN260702P00046000,SELL,FILLED,8.0,8.0,@1.2,1.2,DAY,2026-06-25T13:30:07.107Z,2026-06-25T13:30:07.429Z
PLTR260710P00100000,PLTR260710P00100000,SELL,FILLED,5.0,5.0,@0.75,0.75,DAY,2026-06-24T19:53:48.879Z,2026-06-24T19:53:49.096Z
BA260626C00225000,BA260626C00225000,SELL,FILLED,4.0,4.0,@1.13,1.13,DAY,2026-06-24T19:08:33.079Z,2026-06-24T19:09:55.776Z
MSTR260710P00090000,MSTR260710P00090000,SELL,FILLED,2.0,2.0,@5.2,5.2,DAY,2026-06-24T18:17:30.669Z,2026-06-24T18:17:30.703Z
BA260626C00225000,BA260626C00225000,BUY,FILLED,5.0,5.0,@0.98,0.98,DAY,2026-06-24T18:13:14.369Z,2026-06-24T18:13:14.416Z
